name,description,date,location,Image
Black Hat - USA,"Black Hat is the most technical and relevant global information security event series in the world. For more than 16 years, Black Hat has provided attendees with the very latest in information security research, development, and trends in a strictly vendor-neutral environment. These high-profile global events and Trainings are driven by the needs of the security community, striving to bring together the best minds in the industry. Black Hat inspires professionals at all career levels, encouraging growth and collaboration among academia, world-class researchers, and leaders in the public and private sectors. From its inception in 1997, Black Hat has grown from a single annual conference in Las Vegas to the most respected information security event series internationally. Today, the Black Hat Briefings and Trainings are held annually in the United States, Europe and Asia, providing a premier venue for elite security researchers and trainers to find their audience.",1/8/2015,"Las Vegas, Nevada, United States",
The Annual Symposium on Information Assurance (ASIA),"ASIA is a two-day event that attracts practitioners, researchers, and vendors providing opportunities for business and intellectual engagement among attendees. ASIA '15 will be held at the Governor Nelson A. Rockefeller Empire State Plaza Convention Center, Albany, NY 12242 on June 2-3, 2015. Through generous sponsorships, we are able to have free registration for all selected presenters, authors of accepted papers, and members of government organizations. All people who participate in ASIA are able to attend the rest of the NYSCSC sessions that typically cover practical applications of information security.",2/6/2015,"Albany, New York, United States",
SSTIC,"The SSTIC deals with all areas of security of information systems (system, network, software, hardware, encryption, malware, etc.), both in terms of the defense of the analysis. The conference focuses on technical and / or scientific contributions, but those relating to legal, regulatory or organizational aspects can also be considered. Demonstrations and proofs of concepts are encouraged. Serious and comprehensive analysis of a product or comparative based on reproducible tests are examined. However, the articles to promote a product are not accepted.",3/6/2015,"Rennes, France",
International Cryptographic Module Conference (ICMC),"The International Cryptographic Module Conference is a growing forum for global expertise in commercial cryptography. At the third annual edition of the conference this fall, industry leaders from over 20 countries will convene to address the unique challenges faced by those who produce, use, and test cryptographic modules that conform with standards such as FIPS 140-2 and ISO/IEC 19790. The conference helps to foster a focused, organized community of users. ICMC covers the technical design problems to meet the standard, with a particular emphasis on the challenges posed as technology advances with respect to the current standards.",4/11/2015,"Washington D.C., United States",
RootedCON,"Congress in Madrid which brings together more than 1,000 computer security enthusiasts. Rooted CON born with the purpose of promoting the exchange of knowledge between members of the security community, including claiming the enormous capacity of the Spanish-speaking professionals.",5/3/2015,"Madrid, Spain",http://1.bp.blogspot.com/-yyZAnyLz5nE/VNsOqOwdWXI/AAAAAAAAGGU/tc-bKV48GZY/s1600/rooted.jpg
nullcon Security Conference,"Nullcon was founded in 2010 with the idea of providing an integrated platform for exchanging information on the latest attack vectors, zero day vulnerabilities and unknown threats. Our motto - ""The neXt security thing!"" drives the objective of the conference i.e. to discuss and showcase the future of information security and the next-generation of offensive and defensive security technology. The idea started as a gathering for researchers and organizations to brain storm and demonstrate why the current technology is not sufficient and what should be the focus for the coming years pertaining to information security. In addition to security, one of the section of the conference called Desi Jugaad (Hindi for ""Local Hack"") is dedicated to hacking where we invite researchers who come up with innovative security/tech/non-tech solutions for solving real life challenges or taking up new initiatives.",6/2/2015,"Goa, India",
DEF CON,"Originally started in 1993, it was a meant to be a party for member of ""Platinum Net"", a Fido protocol based hacking network out of Canada. As the main U.S. hub I was helping the Platinum Net organizer (I forget his name) plan a closing party for all the member BBS systems and their users. He was going to shut down the network when his dad took a new job and had to move away. We talking about where we might hold it, when all of a sudden he left early and disappeared. I was just planning a party for a network that was shut down, except for my U.S. nodes. I decided what the hell, I'll invite the members of all the other networks my BBS (A Dark Tangent System) system was a part of including Cyber Crime International (CCI), Hit Net, Tired of Protection (ToP), and like 8 others I can't remember. Why not invite everyone on #hack? Good idea!",6/8/2015,"Las Vegas, Nevada, United States",https://www.defcon.org/images/defcon-22/G-Plus-Hangouts.png
Annual Computer Security Applications Conference (ACSAC),"ACSAC has a tradition of bringing together security professionals from academia, government and industry who are interested in applied security. It is an internationally recognized forum where practitioners, researchers, and developers in information system security meet to learn and to exchange practical ideas and experiences. Started in 1984, the conference has grown over the years to achieve worldwide attendance and recognition for the high quality of its presentations, discussions, and interactions.",7/12/2015,"Los Angeles, California, United States",
Network & Distributed System Security Symposium (NDSS),"This three day conference brought together innovative and forward thinking members of the Internet community including leading-edge security researchers and implementers, globally-recognized security-technology experts, and users from both the private and public sectors who design, develop, exploit, and deploy the technologies that define network and distributed system security.",8/2/2015,"San Francisco, California, United States",
The International Conference on Security of Information and Networks (SIN ACM),"The 8th International Conference on Security of Information and Networks (SIN 2015) provides an international forum for presentation of research and applications of security in information and networks. SIN 2015 features contributed as well as invited papers, special sessions, workshops, and tutorials on theory and practice. Its drive is to convene a high quality, well-attended, and up-to-date conference on scientific and technical issues of security in information, networks, and systems. One day before the conference is reserved for Workshop and Tutorial proposals, if any. Main conference days are September 8-10, 2015. Conference days are reserved for invited talks by keynote speakers, presentations of contributed papers, special sessions, and social program. Pre- and post-conference social programs will be available as well.",8/9/2015,"Sochi, Russia",
New Security Paradigms Workshop (NSPW),"The New Security Paradigms Workshop (NSPW) is an annual, small invitation-only workshop for researchers in information security and related disciplines. NSPW's focus is on work that challenges the dominant approaches and perspectives in computer security. In the past, such challenges have taken the form of critiques of existing practice as well as novel, sometimes controversial, and often immature approaches to defending computer systems. By providing a forum for important security research that isn't suitable for mainstream security venues, NSPW aims to foster paradigm shifts in information security.",8/9/2015,"Twente, The Netherlands",
GrrCon,"GrrCON is an information security and hacking conference that provides the Midwest InfoSec community with a fun atmosphere to come together and engage with like minded people. We keep GrrCON small with around 1,000 attendance to allow us to provide those things other events leave out. Whether you are a Fortune 500 executive, security researcher, industry professional, student, or a hacker of “flexible” morals you will find something for you at GrrCON.",9/10/2015,"Great Rapids, Michigan, United States",
Kiwicon,"Kiwicon is the fourth best technical computer security conference in the Australia-Pacific region but remains triumphant as New Zealand's best (only) hacker conference. Organised by a masochistic cabal of the security community, Kiwicon attempts to bring together the commercial infosec industry, academics, students, and hobbyist hackers to discover the new, the interesting, and technologically crackin'.  First run in 2007, by now Kiwicon has gained reputation, size, and an extra cleaning run for the men's toilets. Attendance in 2013 was around 800 people (although we do not claim all of them are paying attention) plus 30 or so speakers, staff and crue. ",9/12/2015,"Wellington, New Zealand",
Black Hat - Europe,"Black Hat is the most technical and relevant global information security event series in the world. For more than 16 years, Black Hat has provided attendees with the very latest in information security research, development, and trends in a strictly vendor-neutral environment. These high-profile global events and Trainings are driven by the needs of the security community, striving to bring together the best minds in the industry. Black Hat inspires professionals at all career levels, encouraging growth and collaboration among academia, world-class researchers, and leaders in the public and private sectors. From its inception in 1997, Black Hat has grown from a single annual conference in Las Vegas to the most respected information security event series internationally. Today, the Black Hat Briefings and Trainings are held annually in the United States, Europe and Asia, providing a premier venue for elite security researchers and trainers to find their audience.",1/8/2015,"Amsterdam, The Netherlands",
USENIX Security,"The USENIX Security Symposium brings together researchers, practitioners, system administrators, system programmers, and others interested in the latest advances in the security and privacy of computer systems and networks. The 24th USENIX Security Symposium will be held August 12-14, 2015, in Washington, D.C. The Symposium will span three days, with a technical program including refereed papers, invited talks, posters, panel discussions, and Birds-of-a-Feather sessions. Workshops will precede the Symposium on August 10 and 11.",12/8/2015,"Washington D.C., United States",
Conferences on Computer and Communications Security (ACM-CCS),"The ACM Conference on Computer and Communications Security (CCS) is the flagship annual conference of the Special Interest Group on Security, Audit and Control (SIGSAC) of the Association for Computing Machinery (ACM). The conference brings together information security researchers, practitioners, developers, and users from all over the world to explore cutting-edge ideas and results. It provides an environment to conduct intellectual discussions. From its inception, CCS has established itself as a high standard research conference in its area. The 22nd ACM Conference on Computer and Communications Security will be held in the city of Denver, Colorado from October 12, 2015 to October 16, 2015. Known as the Mile-High City, Denver is the 3rd “greenest” city, and one of the top 10 safest large cities in the U.S. The nearby Rocky Mountains offer a wealth of opportunities for outdoor adventures, including hiking, mountain biking, rock climbing, white water rafting and, during winter, skiing and snow shoeing.",12/10/2015,"Denver, Colorado, United States",https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Association_for_Computing_Machinery_%28ACM%29_logo.svg/100px-Association_for_Computing_Machinery_%28ACM%29_logo.svg.png
S4:SCADA Security Scientific Symposium,The premier SCADA and ICS security conference for attendees who want to see technical presentations and advanced ideas.,12/10/2015,"Miami Beach, Florida, United States",https://www.digitalbond.com/wp-content/uploads/2011/04/s4_logo_final.jpg
Hacker Halted,Hacker Halted is a global series of computer and information security conferences presented by ec-council. The objective of the hacker halted conferences is to raise international awareness towards increased education and ethics in it security.,12/10/2015,"Atlanta, Georgia, United States",
THOTCON,"THOTCON (pronounced \ˈthȯt\ and taken from THree - One - Two) is  a small venue hacking conference based in Chicago IL, USA. This is a non-profit, non-commercial event looking to provide the best conference possible on a very limited budget.  Once you attend a THOTCON event, you will have experienced one of the best  information security conference experiences combined with a uniquely casual and social experience. ",12/10/2015,"Chicago, Illinois, United States",
HackMiami Conference,"Hackers and information security professionals all around the globe will descend upon South Florida for the 3rd annual HackMiami Security Conference taking place May 15 – 17, 2015, at the Miami Beach Holiday Inn Oceanfront Hotel. HackMiami Conference 2015 is notorious for gathering the brightest minds in the information security industry and the digital underground, together, under one roof. The HMC 2015 line-up will showcase the hottest penetration testing tools, techniques, and methodologies, which are at the forefront of the global digital threatscape.",12/10/2015,"Miami, Florida, United States",
ShmooCon,"ShmooCon is an annual east coast hacker convention hell-bent on offering three days of an interesting atmosphere for demonstrating technology exploitation, inventive software and hardware solutions, and open discussions of critical infosec issues.  The first day is a single track of speed talks called One Track Mind.  The next two days bring three tracks:  Build It, Belay It and Bring It On.",12/10/2015,"Washington D.C., United States",https://upload.wikimedia.org/wikipedia/en/1/1e/The_Shmoo_Group.png
TROOPERS IT Security Conference,"Troopers provides a networking platform for Security interested people from all over the world and enables security folks from the industry, academia and the research community to exchange knowledge and talk about their work. Again, Troopers15 is going to be an event unlike most other ""security conferences"": No pointless marketing talks, just high-end workshops with hands-on experiences and most importantly: You'll get real answers and practical benefits to meet today's and tomorrow's threats.",12/10/2015,"Heidelberg, Germany",
INFILTRATE,"INFILTRATE is a deep technical conference that focuses entirely on offensive security issues. Groundbreaking researchers focused on the latest technical issues will demonstrate techniques that you cannot find elsewhere. INFILTRATE is the single-most important event for those who are focused on the technical aspects of offensive security issues, for example, computer and network exploitation, vulnerability discovery, and rootkit and trojan covert protocols. INFILTRATE eschews policy and high-level presentations in favor of just hard-core thought-provoking technical meat.",12/10/2015,"Miami Beach, Florida, United States",http://ww1.prweb.com/prfiles/2014/03/10/11653968/gI_121491_Infiltrate_Logo.png
Summercon,"Summercon is one of the oldest hacker conventions, and the longest running such conference in America. It helped set a precedent for more modern ""cons"" such as H.O.P.E. and DEF CON, although it has remained smaller and more personal. Summercon has been hosted in cities such as Pittsburgh, St. Louis, Atlanta, New York, Washington, D.C., Austin, Las Vegas, and Amsterdam. ",12/10/2015,,
DeepSec,"Bringing together the world's most renowned security professionals from academics, government, industry, and the underground hacking community.We are neutral and we stick to our principles: If a topic is interesting and important we will consider a submission for our conferences. We will not lock out individuals or organizations from submitting a talk or attending our conferences and we hope, that potential visitors share our stance and posture.",12/10/2015,"Vienna, Austria",
CanSecWest,"CanSecWest, the world's most advanced conference focusing on applied digital security, is about bringing the industry luminaries together in a relaxed environment which promotes collaboration and social networking. The conference lasts for three days and features a single track of thought provoking presentations, each prepared by an experienced professional and talented educator who is at the cutting edge of his or her field. We give preference to new and innovative material, highlighting important, emergent technologies, techniques, or best industry practices.",12/10/2015,"Vancounver, Canada",
IEEE Symposium on Security and Privacy,"Since 1980, the IEEE Symposium on Security and Privacy has been the premier forum for presenting developments in computer security and electronic privacy, and for bringing together researchers and practitioners in the field. The 2015 Symposium will mark the 36th annual meeting of this flagship conference.",12/10/2015,"San Jose, California, United States",
ROOTCON,"ROOTCON comes from the two words ""ROOT"" (super user on Unix systems) and ""CON"" (conference). ROOTCON operation started 27-December-2008, registered as DEFCON Group 6332, and carried the name DEFCONPH. The group held two small gatherings under DEFCONPH - known as the BeerTalks.  After the two consecutive gatherings, DEFCON brought up their copyright protection concerns, having observed that the Philippine Hacker and InfoSec group was carrying a name very similar to theirs. ",12/10/2015,,
Open Web Application Security Project (OWASP) - Global AppSEC Europe,"The OWASP Project Summit is a smaller version of the much larger OWASP Summits. This year’s summit aims to give our project leaders the opportunity to have attendees sit down and work on project related activities during AppSecEU. It is an excellent opportunity to engage with active OWASP Project Leaders if you are a conference attendee, and it gives project leaders the chance to move forward on their project milestones while meeting new potential volunteers that can assist with future milestones.",12/10/2015,"Amsterdam, The Netherlands",
CarolinaCon,"CarolinaCon was started in 2005 and has been held every year since. With each passing year the conference continues to grow and attract more attendees and speakers. As has always been the case, CarolinaCon is put together and run by an all-volunteer staff. CarolinaCon is proudly brought to you by ""The CarolinaCon Group"". The CarolinaCon Group is a non-profit organization registered in the state of NC, dedicated to educating the local and global communities about technology, information/network/computer security, and information rights.",12/10/2015,"Raleigh, North Carolina, United States",
RSA Security Conference,"In the digital world in which we now live, information is a very highly valued commodity. Safeguarding that information, therefore, has become a top priority. RSA Conference’s mission is to connect you with the people and insights that will empower you to stay ahead of cyber threats. We do this through our events in the US, the EMEA region and the Asia-Pacific region and through our digital outreach. However you access our community, RSA Conference is your best resource for exchanging ideas, learning the latest trends and finding the answers you are looking for.",12/10/2015,"San Francisco, California, United States",
Nuit Du Hack,"The “Nuit Du Hack” conference was initiated in 2003 by the French hacking group: HackerZvoice. This event has been gathering people willing to learn and share their knowledge around lectures and challenges since. Originally reuniting 20 persons, the Nuit Du Hack has never stopped growing by gathering more and more people from passionate to the professional area.",12/10/2015,"Paris, France",
NorthSec,"NorthSec is the biggest applied security event in Canada, aimed at raising the knowledge and technical expertise of professionals and students alike. We are determined to create a high quality security forum composed of a two day single track conference by the brightest in their field of expertise, followed by an intense 48 hour on-site CTF contest.",9/10/2015,"Montreal, Canada",
Swiss Cyber Storm,"International IT Security Conference held in October at KKL Lucerne, Switzerland.",9/10/2015,"Lucerne, Switzerland",
Open Web Application Security Project (OWASP) - Global AppSEC USA,"OWASP is a nonprofit community organization with 200 chapters in over 100 countries around the world. Our mission is to make software security visible, so that individuals and organizations worldwide can make informed decisions about true software security risks. Our wiki has a wealth of security knowledge and we are well known for many of our influential security projects. The OWASP AppSec conferences represent our largest outreach efforts to advance our mission of spreading security knowledge. These events help fund the non-profit organization and provide a great learning experience for everyone involved. Many thanks to our conference sponsors, OWASP foundation sponsors, and most importantly the OWASP community!",9/10/2015,"San Francisco, California, United States",
LayerOne,"LayerOne is a computer security conference located in Los Angeles, California. Since 2004, we’ve featured speakers from all across the globe and on topics ranging from lockpicking and MPLS security to covert data gathering and HIPAA compliance. Our speakers come from a diverse background and include a focus not just on the nuts and bolts of technology but the social impact as well.",9/10/2015,"Los Angeles, California, United States",
DerbyCon,"Welcome to DerbyCon 5.0 – “Unity”. This is the place where security professionals, hobbyists, and anyone interested in security come to hang out. DerbyCon V will be held September 23-27th, 2015 at the Hyatt Regency in downtown Louisville Kentucky. Training is held on Wednesday and Thursday (September 23rd and 24th) and the conference the Friday, Saturday, and Sunday (September 25th – 27th). DerbyCon 4.0 pulled in over 2,000 people with an amazing speaker lineup and a family-like feel. We continue to make the conference better each year and have a ton of new and exciting things planned for this year. Please excuse the website as it is currently under construction and planning for DerbyCon 5.0!",9/10/2015,"Louisville, Kentucky, United States",
Black Hat - Asia,"Black Hat is the most technical and relevant global information security event series in the world. For more than 16 years, Black Hat has provided attendees with the very latest in information security research, development, and trends in a strictly vendor-neutral environment. These high-profile global events and Trainings are driven by the needs of the security community, striving to bring together the best minds in the industry. Black Hat inspires professionals at all career levels, encouraging growth and collaboration among academia, world-class researchers, and leaders in the public and private sectors. From its inception in 1997, Black Hat has grown from a single annual conference in Las Vegas to the most respected information security event series internationally. Today, the Black Hat Briefings and Trainings are held annually in the United States, Europe and Asia, providing a premier venue for elite security researchers and trainers to find their audience.",9/10/2015,Singapore,
ToorCon,San Diego hacker convention that emerged from the 2600 user group frequently in late September.,9/10/2015,"San Diego, California, United States",
Hackers 2 Hackers Conference (H2HC),"Hackers 2 Hackers Conference (H2HC) is a conference organized by people who work or who are directly involved in research and development in information security area, whose main objective is to enable the dissemination, discussion and the exchange of knowledge about information security between participants and also between companies involved in the event. With training and lectures presented by respected members of the corporate world, research groups and underground community, this year's conference promises to demonstrate techniques that have never been seen or discussed with the public before. And why hold a conference where they can be demonstrated new techniques attack, new tools and points systems insecurities? Because we want to show this kind of information to the public, especially to people whose job is to protect and enhance the security of systems and make them understand better how others attack their computers. People who attack usually know several techniques and it is important that security analysts, systems auditors, and other persons responsible for security also know how to defend. As can be seen when accessing the best forums, websites and email lists about subject, find security holes is not a very difficult task. For each flaw discovered by a researcher and sent to a manufacturer, there are probably others that are already known to researchers who do not notify the manufacturer. And we believe that the best way to protect against these unknown faults is to understand deeply the problems happen and create security mechanisms to prevent failures class, not just apply patches published by the manufacturer and expect anyone attack your system with 0day.",9/10/2015,"São Paulo, Brazil",
SOURCE Conference,"SOURCE Conference is now accepting submissions for SOURCE Boston 2015. This is your opportunity to communicate your research, knowledge and expertise to top security professionals, advanced IT professionals, senior and top-level executives, company chief officers (e.g. CTOs, CISOs), faculty and students from colleges and universities and members of management and business communities.",9/10/2015,"Boston, Massachusetts, United States",
HITBSecConf / Hack In The Box,"HITBSecConf or the Hack In The Box Security Conference is an annual must attend event in the calendars of security researchers and professionals around the world. Held annually in Kuala Lumpur, Malaysia and Amsterdam in The Netherlands, HITBSecConf is a platform for the discussion and dissemination of next generation computer security issues. Our events routinely feature two days of trainings and a two-day multi-track conference featuring cutting-edge hardcore technical talks delivered by some of the most respected names in the computer security industry. HITBSecConf is a place where ideas are exchanged, talent discovered and genius celebrated.",9/10/2015,"Amsterdam, The Netherlands",http://conference.hitb.nl/
INFWARCON Beyond Information Warfare,"InfowarCon 15 again plans to unite a highly culled group of political, military, academic, DIYer, and commercial cyber-leaders and thinkers from around the world to examine the current, future, and potential hostile use of cyber and related information technologies and how to neutralize the current ones. We encourage government, law enforcement, academia, corporations, product vendors, and individuals from all nations to submit papers, presentations, demonstrations, and concepts for presentations to be given at InfowarCon 15 and subsequently published.",9/10/2015,"Nashville, Tennessee, United States",
T2 infosec conference,"t2 was born at a time when there was a need for a conference that was “from hacker to hacker” when there was not one single independent, technically oriented, information security conference in Finland in existence. The mission of t2 has remained the same from its commencement, to be an annual conference dedicated to those who are interested in the technical aspects of information security. t2 offers the opportunity to publish new research and ideas as well as networking, the latter an elemental part of its ideology.",9/10/2015,"Helsinki, Finland",
Virus Bulletin conference,"Over its 24-year history, the VB conference has become a major highlight of the IT security calendar, with many of its regular attendees citing it as the security event of the year. The conference provides a focus for the industry, representing an opportunity for experts in the field to share their research interests, discuss methods and technologies and set new standards, as well as meet with - and learn from - those who put their technologies into practice in the real world. The conference program caters for both technical and corporate audiences, covering a wide range of security-related subjects. Delegates range from dedicated threat researchers working independently or within vendor companies, to IT security experts from government and military organizations, legal, financial and educational institutions and large corporations worldwide.",9/10/2015,"Prague, Czech Republic",https://upload.wikimedia.org/wikipedia/commons/a/a2/VirusBulletin.png